dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,lat,lon,cross_street,weapon_used_cd,weapon_desc,crm_cd_2,crm_cd_3
100101075,2010-06-19T00:00:00.000,2010-06-17T00:00:00.000,2100,01,Central,0192,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1402,25,M,H,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740,15TH,34.0359,-118.2648,OLIVE,,,998,
100101076,2010-06-19T00:00:00.000,2010-06-17T00:00:00.000,2100,01,Central,0192,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,28,F,H,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,745,1800 S  FLOWER                       ST,34.0353,-118.2698,,,,,
100101082,2010-06-19T00:00:00.000,2010-06-19T00:00:00.000,0315,01,Central,0157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411,31,M,B,101,STREET,IC,Invest Cont,230,6TH,34.0412,-118.2436,CROCKER,200,KNIFE WITH BLADE 6INCHES OR LESS,,
100101091,2010-06-21T00:00:00.000,2010-06-21T00:00:00.000,2350,01,Central,0105,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,29,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,626,400    SOLANO                       AV,34.0710,-118.2302,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101093,2010-06-22T00:00:00.000,2010-06-22T00:00:00.000,0300,01,Central,0152,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,56,M,H,101,STREET,IC,Invest Cont,740,HILL                         ST,34.0474,-118.2531,6TH                          ST,,,,
100101095,2010-06-23T00:00:00.000,2010-06-17T00:00:00.000,2100,01,Central,0162,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,0,M,H,101,STREET,IC,Invest Cont,745,9TH                          ST,34.0458,-118.2614,FLOWER                       ST,,,,
100101103,2010-06-22T00:00:00.000,2010-06-22T00:00:00.000,1830,01,Central,0152,2,624,BATTERY - SIMPLE ASSAULT,0416 0417 0429,32,M,W,102,SIDEWALK,AO,Adult Other,624,600 W  6TH                          ST,34.0488,-118.2553,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101104,2010-06-23T00:00:00.000,2010-06-23T00:00:00.000,1550,01,Central,0162,1,210,ROBBERY,0344 0416,29,F,B,101,STREET,IC,Invest Cont,210,8TH,34.0452,-118.2569,HILL                         ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101111,2010-06-24T00:00:00.000,2010-06-24T00:00:00.000,0001,01,Central,0142,1,210,ROBBERY,0302 0337 0344 0400 1300 1402,33,M,W,102,SIDEWALK,AO,Adult Other,210,3RD                          ST,34.0544,-118.2535,FLOWER,109,SEMI-AUTOMATIC PISTOL,998,
100101114,2010-06-24T00:00:00.000,2010-06-24T00:00:00.000,1215,01,Central,0111,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400,59,M,H,101,STREET,IC,Invest Cont,230,700 N  GRAND                        AV,34.0626,-118.2433,,307,VEHICLE,,
100101115,2010-06-24T00:00:00.000,2010-06-24T00:00:00.000,1650,01,Central,0185,2,625,OTHER ASSAULT,0416 1212,35,M,H,101,STREET,IC,Invest Cont,625,PICO,34.0346,-118.2572,MAPLE                        ST,307,VEHICLE,,
100101118,2010-06-25T00:00:00.000,2010-06-25T00:00:00.000,2300,01,Central,0182,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1241 2000,34,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,626,1100 S  GRAND                        AV,34.0416,-118.2620,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101120,2010-06-26T00:00:00.000,2010-06-25T00:00:00.000,2345,01,Central,0153,1,121,"RAPE, FORCIBLE",0319 0400 0500 0522,13,F,B,503,HOTEL,AO,Adult Other,121,500 S  SPRING                       ST,34.0474,-118.2496,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101121,2010-06-26T00:00:00.000,2010-06-26T00:00:00.000,0830,01,Central,0111,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1243 2000,19,F,H,101,STREET,IC,Invest Cont,626,LOS ANGELES                  ST,34.0563,-118.2374,ALAMEDA,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101123,2010-06-27T00:00:00.000,2010-06-27T00:00:00.000,1400,01,Central,0185,2,946,OTHER MISCELLANEOUS CRIME,,42,M,W,103,ALLEY,AA,Adult Arrest,946,1000    SANTEE                       ST,34.0389,-118.2550,,,,,
100101124,2010-06-28T00:00:00.000,2010-06-28T00:00:00.000,0230,01,Central,0192,2,888,TRESPASSING,1501,25,M,H,701,HOSPITAL,IC,Invest Cont,888,1400 S  GRAND                        AV,34.0372,-118.2654,,,,,
100101125,2010-06-28T00:00:00.000,2010-06-28T00:00:00.000,0300,01,Central,0153,1,210,ROBBERY,0305 0337 0344 0416 0429,30,M,H,102,SIDEWALK,IC,Invest Cont,210,500 S  HILL                         ST,34.0488,-118.2518,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101136,2010-06-29T00:00:00.000,2010-06-29T00:00:00.000,1430,01,Central,0195,2,624,BATTERY - SIMPLE ASSAULT,0416 1300,17,M,H,102,SIDEWALK,AO,Adult Other,624,17TH                         ST,34.0340,-118.2651,HILL                         ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101137,2010-06-29T00:00:00.000,2010-06-29T00:00:00.000,1430,01,Central,0195,2,624,BATTERY - SIMPLE ASSAULT,0416 1217 1251 1300,18,M,H,102,SIDEWALK,AO,Adult Other,624,17TH                         ST,34.0340,-118.2651,HILL                         ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101139,2010-06-29T00:00:00.000,2010-06-28T00:00:00.000,1000,01,Central,0145,1,310,BURGLARY,0344 1606,29,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,310,400 S  MAIN                         ST,34.0482,-118.2472,,,,,
100101140,2010-06-29T00:00:00.000,2010-06-29T00:00:00.000,1530,01,Central,0143,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,19,M,H,101,STREET,IC,Invest Cont,440,400 S  BROADWAY,34.0495,-118.2494,,,,,
100101148,2010-07-01T00:00:00.000,2010-06-30T00:00:00.000,2115,01,Central,0158,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0408 0416 2000,48,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,626,500    CERES                        AV,34.0416,-118.2398,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101153,2010-07-02T00:00:00.000,2010-07-02T00:00:00.000,0200,01,Central,0147,1,210,ROBBERY,0305 0344 0416 0429,49,M,W,102,SIDEWALK,IC,Invest Cont,210,300 E  5TH                          ST,34.0449,-118.2458,,500,UNKNOWN WEAPON/OTHER WEAPON,,
100101162,2010-07-03T00:00:00.000,2010-07-03T00:00:00.000,1330,01,Central,0156,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0305 0411 0906,31,M,B,101,STREET,IC,Invest Cont,230,6TH,34.0423,-118.2452,SAN JULIAN,207,OTHER KNIFE,,
100101166,2010-07-04T00:00:00.000,2010-07-04T00:00:00.000,0220,01,Central,0171,2,946,OTHER MISCELLANEOUS CRIME,1501,26,M,B,101,STREET,IC,Invest Cont,946,800 W  OLYMPIC                      BL,34.0450,-118.2640,,,,,
100101167,2010-07-05T00:00:00.000,2010-07-04T00:00:00.000,2330,01,Central,0148,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,29,M,B,104,DRIVEWAY,IC,Invest Cont,626,SAN PEDRO,34.0450,-118.2435,WINSTON,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101172,2010-07-05T00:00:00.000,2010-07-05T00:00:00.000,0115,01,Central,0143,2,901,VIOLATION OF RESTRAINING ORDER,2000,25,F,H,210,RESTAURANT/FAST FOOD,IC,Invest Cont,901,4TH,34.0503,-118.2504,HILL                         ST,,,,
100101173,2010-07-05T00:00:00.000,2010-07-05T00:00:00.000,0110,01,Central,0143,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0429,26,M,H,210,RESTAURANT/FAST FOOD,IC,Invest Cont,624,4TH,34.0503,-118.2504,HILL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101174,2010-07-05T00:00:00.000,2010-07-05T00:00:00.000,0230,01,Central,0162,1,210,ROBBERY,0305 0334 0344 0411 1206,26,M,H,101,STREET,IC,Invest Cont,210,7TH,34.0487,-118.2588,FLOWER,204,FOLDING KNIFE,,
100101179,2010-07-06T00:00:00.000,2010-07-06T00:00:00.000,1500,01,Central,0111,1,330,BURGLARY FROM VEHICLE,0344 0358 1251 1307 1402 1609,25,F,O,101,STREET,IC,Invest Cont,330,NEW DEPOT                    ST,34.0639,-118.2446,ALPINE                       ST,,,998,
100101182,2010-07-07T00:00:00.000,2010-07-07T00:00:00.000,1610,01,Central,0176,1,210,ROBBERY,0344 0411,52,M,W,102,SIDEWALK,IC,Invest Cont,210,7TH                          ST,34.0407,-118.2468,SAN PEDRO,218,OTHER CUTTING INSTRUMENT,,
100101189,2010-07-08T00:00:00.000,2010-07-08T00:00:00.000,2135,01,Central,0154,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0429 1402,28,M,B,101,STREET,IC,Invest Cont,230,MAIN                         ST,34.0467,-118.2485,5TH                          ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",998,
100101190,2010-07-08T00:00:00.000,2010-07-08T00:00:00.000,1040,01,Central,0144,1,220,ATTEMPTED ROBBERY,0334 0400 1402,46,F,W,210,RESTAURANT/FAST FOOD,AO,Adult Other,220,MAIN                         ST,34.0482,-118.2472,4TH                          ST,113,SIMULATED GUN,998,
100101191,2010-07-09T00:00:00.000,2010-07-09T00:00:00.000,0235,01,Central,0185,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,22,F,H,108,PARKING LOT,AA,Adult Arrest,626,9TH,34.0430,-118.2571,HILL                         ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101197,2010-07-10T00:00:00.000,2010-07-10T00:00:00.000,0700,01,Central,0171,2,762,LEWD CONDUCT,1402,41,M,B,102,SIDEWALK,IC,Invest Cont,762,GEORGIA,34.0457,-118.2665,JAMES WOOD,,,998,
100101198,2010-07-10T00:00:00.000,2010-07-10T00:00:00.000,1715,01,Central,0148,2,624,BATTERY - SIMPLE ASSAULT,0416,34,M,O,101,STREET,IC,Invest Cont,624,4TH                          ST,34.0454,-118.2422,SAN PEDRO,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101203,2010-07-11T00:00:00.000,2010-07-11T00:00:00.000,1435,01,Central,0146,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,57,M,H,102,SIDEWALK,IC,Invest Cont,230,WALL,34.0455,-118.2452,WINSTON,500,UNKNOWN WEAPON/OTHER WEAPON,,
100101204,2010-07-12T00:00:00.000,2010-07-12T00:00:00.000,0055,01,Central,0162,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0400 1402,63,M,B,124,BUS STOP,IC,Invest Cont,930,OLIVE,34.0452,-118.2569,7TH                          ST,511,VERBAL THREAT,998,
100101205,2010-07-12T00:00:00.000,2010-07-12T00:00:00.000,1700,01,Central,0166,2,624,BATTERY - SIMPLE ASSAULT,0416,33,M,B,101,STREET,IC,Invest Cont,624,5TH                          ST,34.0446,-118.2450,SAN JULIAN,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101206,2010-07-12T00:00:00.000,2010-07-12T00:00:00.000,1300,01,Central,0132,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,35,F,W,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740,800 W  1ST                          ST,34.0571,-118.2509,,,,,
100101209,2010-07-13T00:00:00.000,2010-07-13T00:00:00.000,1240,01,Central,0111,2,623,BATTERY POLICE (SIMPLE),0400 0416 1212 1402,0,M,H,102,SIDEWALK,IC,Invest Cont,623,HILL                         ST,34.0650,-118.2384,COLLEGE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",998,
100101213,2010-07-13T00:00:00.000,2010-07-13T00:00:00.000,2105,01,Central,0148,1,210,ROBBERY,0344 0400 0416,21,M,H,101,STREET,AA,Adult Arrest,210,SAN PEDRO,34.0450,-118.2435,WINSTON                      ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101215,2010-07-14T00:00:00.000,2010-07-14T00:00:00.000,1630,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402,23,M,H,404,DEPARTMENT STORE,AA,Adult Arrest,442,700 W  7TH                          ST,34.0480,-118.2577,,,,998,
100101217,2010-07-15T00:00:00.000,2010-07-14T00:00:00.000,2330,01,Central,0162,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,21,M,W,203,OTHER BUSINESS,IC,Invest Cont,230,OLIVE                        ST,34.0452,-118.2569,7TH                          ST,216,SCISSORS,,
100101225,2010-07-15T00:00:00.000,2010-07-15T00:00:00.000,2040,01,Central,0174,2,946,OTHER MISCELLANEOUS CRIME,0906 1212 1402,9,M,H,101,STREET,AA,Adult Arrest,946,700 S  MAIN                         ST,34.0439,-118.2514,,,,998,
100101226,2010-07-15T00:00:00.000,2010-07-15T00:00:00.000,2100,01,Central,0155,2,624,BATTERY - SIMPLE ASSAULT,0417 1212,28,M,W,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,624,6TH,34.0435,-118.2471,WALL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101227,2010-07-15T00:00:00.000,2010-07-15T00:00:00.000,2100,01,Central,0155,2,624,BATTERY - SIMPLE ASSAULT,0416 1212,34,M,H,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,624,6TH,34.0435,-118.2471,WALL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101228,2010-07-15T00:00:00.000,2010-07-15T00:00:00.000,2100,01,Central,0155,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 1212,34,M,H,101,STREET,IC,Invest Cont,624,6TH,34.0435,-118.2471,WALL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101233,2010-07-15T00:00:00.000,2010-07-15T00:00:00.000,2230,01,Central,0158,1,210,ROBBERY,0344 0416 0429,38,M,W,101,STREET,IC,Invest Cont,210,6TH,34.0398,-118.2413,GLADYS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101237,2010-07-15T00:00:00.000,2010-07-15T00:00:00.000,1930,01,Central,0162,1,220,ATTEMPTED ROBBERY,0400,0,M,W,102,SIDEWALK,IC,Invest Cont,220,HILL                         ST,34.0445,-118.2558,7TH                          ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101241,2010-07-16T00:00:00.000,2010-07-16T00:00:00.000,1430,01,Central,0152,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,45,M,W,101,STREET,AO,Adult Other,230,600    WILSHIRE                     BL,34.0480,-118.2560,,212,BOTTLE,,
100101243,2010-07-16T00:00:00.000,2010-07-16T00:00:00.000,1815,01,Central,0157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402,42,M,H,102,SIDEWALK,IC,Invest Cont,230,500    CROCKER                      ST,34.0435,-118.2427,,200,KNIFE WITH BLADE 6INCHES OR LESS,998,
100101244,2010-07-16T00:00:00.000,2010-07-16T00:00:00.000,2200,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 0417 0429 1402,24,F,W,101,STREET,IC,Invest Cont,230,SAN JULIAN                   ST,34.0428,-118.2461,6TH                          ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",998,
100101245,2010-07-17T00:00:00.000,2010-07-17T00:00:00.000,0440,01,Central,0152,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,24,M,H,203,OTHER BUSINESS,AA,Adult Arrest,740,OLIVE                        ST,34.0467,-118.2556,7TH                          ST,,,,
100101247,2010-07-17T00:00:00.000,2010-07-17T00:00:00.000,2130,01,Central,0147,2,624,BATTERY - SIMPLE ASSAULT,0432 2000,30,F,B,101,STREET,IC,Invest Cont,624,5TH,34.0446,-118.2450,SAN JULIAN                   ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101250,2010-07-18T00:00:00.000,2010-07-18T00:00:00.000,0420,01,Central,0152,1,210,ROBBERY,0337 0344 1402,27,M,W,101,STREET,AO,Adult Other,210,7TH,34.0467,-118.2556,OLIVE                        ST,511,VERBAL THREAT,998,
100101251,2010-07-18T00:00:00.000,2010-07-18T00:00:00.000,1420,01,Central,0156,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402 2000,24,M,H,102,SIDEWALK,IC,Invest Cont,230,7TH,34.0412,-118.2474,WALL                         ST,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,998,
100101252,2010-07-18T00:00:00.000,2010-07-18T00:00:00.000,1400,01,Central,0111,1,210,ROBBERY,0302 0344 0400,54,F,O,203,OTHER BUSINESS,IC,Invest Cont,210,900 N  BROADWAY,34.0640,-118.2375,,102,HAND GUN,,
100101258,2010-07-21T00:00:00.000,2010-07-18T00:00:00.000,2200,01,Central,0171,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0416 0417 0429,32,M,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),IC,Invest Cont,341,800 W  OLYMPIC                      BL,34.0450,-118.2640,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",624,
100101259,2010-07-19T00:00:00.000,2010-07-19T00:00:00.000,1650,01,Central,0101,1,210,ROBBERY,0344 0416 0601 0906 0917,39,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,210,1200    INNES                        AV,34.0717,-118.2493,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101260,2010-07-19T00:00:00.000,2010-07-19T00:00:00.000,2205,01,Central,0171,1,210,ROBBERY,0334 0337 0344 0416 1402,0,M,H,108,PARKING LOT,AO,Adult Other,210,FIGUEROA,34.0437,-118.2652,11TH                         ST,301,BELT FLAILING INSTRUMENT/CHAIN,998,
100101262,2010-07-21T00:00:00.000,2010-07-21T00:00:00.000,1700,01,Central,0148,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,0,F,W,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740,5TH,34.0426,-118.2412,TOWNE,,,,
100101264,2010-07-22T00:00:00.000,2010-07-19T00:00:00.000,0010,01,Central,0156,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0344 0400 1100,22,M,B,101,STREET,AA,Adult Arrest,230,SAN JUIAN,34.0437,-118.2455,6TH                          ST,102,HAND GUN,,
100101269,2010-07-22T00:00:00.000,2010-07-15T00:00:00.000,2300,01,Central,0156,1,210,ROBBERY,0344 0400,20,M,B,102,SIDEWALK,IC,Invest Cont,210,5TH                          ST,34.0446,-118.2450,SAN JULIAN                   ST,109,SEMI-AUTOMATIC PISTOL,,
100101273,2010-07-22T00:00:00.000,2010-07-22T00:00:00.000,1510,01,Central,0152,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0601 2004,34,F,A,403,DRUG STORE,AO,Adult Other,442,600 W  7TH                          ST,34.0473,-118.2566,,,,,
100101276,2010-07-24T00:00:00.000,2010-07-24T00:00:00.000,0015,01,Central,0195,2,624,BATTERY - SIMPLE ASSAULT,0319 0416,28,F,H,102,SIDEWALK,IC,Invest Cont,624,BROADWAY,34.0342,-118.2636,VENICE                       BL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101277,2010-07-25T00:00:00.000,2010-07-25T00:00:00.000,1240,01,Central,0182,2,649,DOCUMENT FORGERY / STOLEN FELONY,1402,30,M,H,202,LIQUOR STORE,IC,Invest Cont,649,300 W  PICO                         BL,34.0383,-118.2633,,,,998,
100101283,2010-07-28T00:00:00.000,2010-07-27T00:00:00.000,0005,01,Central,0156,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0552,12,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,812,500 S  SAN PEDRO                    ST,34.0442,-118.2439,,,,998,
100101285,2010-07-29T00:00:00.000,2010-07-24T00:00:00.000,0100,01,Central,0111,1,121,"RAPE, FORCIBLE",0522 0906 1402,28,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,121,500 N  HILL                         ST,34.0589,-118.2412,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",998,
100101286,2010-07-30T00:00:00.000,2010-07-29T00:00:00.000,2255,01,Central,0162,1,121,"RAPE, FORCIBLE",0527,21,F,W,203,OTHER BUSINESS,AO,Adult Other,121,700 S  HOPE                         ST,34.0480,-118.2577,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101287,2010-07-29T00:00:00.000,2010-07-29T00:00:00.000,2050,01,Central,0176,2,624,BATTERY - SIMPLE ASSAULT,0416,27,M,H,102,SIDEWALK,IC,Invest Cont,624,8TH                          ST,34.0387,-118.2488,SAN PEDRO,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101288,2010-07-30T00:00:00.000,2010-07-30T00:00:00.000,1400,01,Central,0166,1,210,ROBBERY,0344 0416 0417 0906,43,M,B,101,STREET,IC,Invest Cont,210,6TH,34.0423,-118.2452,SAN JULIAN,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101297,2010-08-01T00:00:00.000,2010-08-01T00:00:00.000,0115,01,Central,0101,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,9,M,O,101,STREET,IC,Invest Cont,745,900    EVERETT                      ST,34.0673,-118.2499,,,,,
100101298,2010-08-01T00:00:00.000,2010-08-01T00:00:00.000,1100,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0429,60,M,W,101,STREET,IC,Invest Cont,624,500 W  7TH                          ST,34.0467,-118.2556,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101301,2010-08-01T00:00:00.000,2010-08-01T00:00:00.000,1500,01,Central,0111,2,624,BATTERY - SIMPLE ASSAULT,0400,17,F,H,102,SIDEWALK,AO,Adult Other,624,MAIN                         ST,34.0583,-118.2378,CESAR E CHAVEZ,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101302,2010-08-01T00:00:00.000,2010-08-01T00:00:00.000,2030,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,31,F,W,404,DEPARTMENT STORE,AA,Adult Arrest,440,700 W  7TH                          ST,34.0480,-118.2577,,,,,
100101304,2010-08-02T00:00:00.000,2010-07-31T00:00:00.000,1200,01,Central,0141,1,251,SHOTS FIRED AT INHABITED DWELLING,1100 1402,38,M,H,602,BANK,IC,Invest Cont,251,400 S  FIGUEROA                     ST,34.0535,-118.2560,,106,UNKNOWN FIREARM,998,
100101305,2010-08-01T00:00:00.000,2010-07-30T00:00:00.000,1630,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,37,M,H,404,DEPARTMENT STORE,IC,Invest Cont,440,700 W  7TH                          ST,34.0480,-118.2577,,,,,
100101307,2010-08-05T00:00:00.000,2010-08-05T00:00:00.000,1410,01,Central,0185,2,623,BATTERY POLICE (SIMPLE),1212,0,M,H,102,SIDEWALK,IC,Invest Cont,623,300 E  12TH                         ST,34.0363,-118.2573,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101309,2010-08-06T00:00:00.000,2010-08-05T00:00:00.000,0804,01,Central,0155,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,60,M,B,503,HOTEL,IC,Invest Cont,745,500    MAPLE                        AV,34.0454,-118.2466,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101311,2010-08-06T00:00:00.000,2010-08-06T00:00:00.000,1800,01,Central,0195,1,210,ROBBERY,0302 0337 0344 0400,41,M,H,203,OTHER BUSINESS,IC,Invest Cont,210,1500    SANTEE                       ST,34.0331,-118.2599,,108,AUTOMATIC WEAPON/SUB-MACHINE GUN,,
100101317,2010-08-07T00:00:00.000,2010-07-27T00:00:00.000,1900,01,Central,0119,2,354,THEFT OF IDENTITY,1402,26,F,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,800 N  ALAMEDA                      ST,34.0563,-118.2374,,,,998,
100101319,2010-08-07T00:00:00.000,2010-08-06T00:00:00.000,1730,01,Central,0176,1,310,BURGLARY,0344 1307 1609,29,F,O,402,MARKET,IC,Invest Cont,310,300 E  8TH                          ST,34.0413,-118.2517,,,,,
100101320,2010-08-07T00:00:00.000,2010-08-06T00:00:00.000,1730,01,Central,0176,1,310,BURGLARY,0324,25,F,H,203,OTHER BUSINESS,IC,Invest Cont,310,300 E  8TH                          ST,34.0413,-118.2517,,,,,
100101324,2010-08-07T00:00:00.000,2010-08-07T00:00:00.000,1830,01,Central,0111,1,220,ATTEMPTED ROBBERY,1300 1302,58,M,H,101,STREET,AA,Adult Arrest,220,SOLANO,34.0710,-118.2302,N  BROADWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101329,2010-08-11T00:00:00.000,2010-08-11T00:00:00.000,1630,01,Central,0166,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,60,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,341,500 E  7TH                          ST,34.0412,-118.2474,,,,998,
100101330,2010-08-12T00:00:00.000,2010-08-11T00:00:00.000,2140,01,Central,0166,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0103 0319 0373 0416 0417 1212 1218 1402 2002,0,M,O,102,SIDEWALK,IC,Invest Cont,231,6TH,34.0423,-118.2452,SAN PEDRO,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100101332,2010-08-12T00:00:00.000,2010-08-11T00:00:00.000,2030,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0325,23,F,H,404,DEPARTMENT STORE,IC,Invest Cont,440,700 W  7TH                          ST,34.0480,-118.2577,,,,,
